INDICATOR,HFA_426,,,
,,,,
HFA_426,"Pure alcohol consumption, litres per capita, age 15+",,,
,,,,
UNIT_TYPE,Unit,,,
LITRES_PCAPITA,litres per capita,,,
,,,,
EXTERNID,ID in the originating data source,,,
,,,,
DATA_SOURCE,Data source,,,
HFA,European Health for All database,,,
,,,,
DATA_TYPE_REPRESENTATION,Data type representation,,,
RATIO,Ratio,,,
,,,,
DATA_SET,Data set,,,
HFA,European Health for All database (WHO),,,
,,,,
DATA_MASK,Mask for controlling the output format of values,,,
,,,,
,EU_AFTER_MAY2004,ALL,1991,10.44
,EU_AFTER_MAY2004,ALL,2008,11.81
TKM,,ALL,1996,1.71
,SMALL,ALL,1985,7.89
CYP,,ALL,1991,9.16
CZE,,ALL,1973,12.95
NOR,,ALL,1977,5.93
,EU_BEFORE_MAY2004,ALL,1978,15.29
POL,,ALL,1972,8.7
POL,,ALL,1973,8.67
POL,,ALL,1977,10.47
UZB,,ALL,1992,1.32
KAZ,,ALL,2006,7.08
MKD,,ALL,2011,1.16
,EU_BEFORE_MAY2004,ALL,1987,12.81
UZB,,ALL,1994,1.84
,EU_MEMBERS,ALL,2014,10.19
POL,,ALL,1983,8.25
,SEEHN,ALL,1998,8.19
POL,,ALL,1981,11.21
DNK,,ALL,1970,9.58
DNK,,ALL,1973,10.89
DNK,,ALL,1974,10.68
UZB,,ALL,1996,1.64
BEL,,ALL,1986,12.72
EST,,ALL,2003,11.64
BGR,,ALL,1978,11.27
GEO,,ALL,2014,6.13
,CIS,ALL,1994,6.86
KGZ,,ALL,1995,1.66
ISR,,ALL,1977,3.92
MLT,,ALL,1973,3.88
ISR,,ALL,1976,5
TKM,,ALL,2009,2.35
MDA,,ALL,2014,9.99
LVA,,ALL,1993,7.95
IRL,,ALL,1986,11.23
DEU,,ALL,1991,13.92
FIN,,ALL,2003,9.31
IRL,,ALL,2013,10.49
TKM,,ALL,1997,1.73
,EU_AFTER_MAY2004,ALL,1992,10.48
CZE,,ALL,1974,13.11
,EU_AFTER_MAY2004,ALL,1989,10.57
,NORDIC,ALL,2010,8.3
CZE,,ALL,2007,13.43
ISR,,ALL,1988,2.18
RUS,,ALL,1978,7.77
RUS,,ALL,1979,7.72
GRC,,ALL,1977,10.92
GRC,,ALL,1976,11.01
DNK,,ALL,2000,11.69
FIN,,ALL,1980,7.94
ITA,,ALL,2008,7.96
BLR,,ALL,1991,8.87
SRB,,ALL,2012,9.38
,CIS,ALL,1991,7.02
,CIS,ALL,2004,8.51
NLD,,ALL,1970,7.54
MLT,,ALL,1999,6.81
SWE,,ALL,1973,7.94
AUT,,ALL,2003,12.2
GRC,,ALL,1986,8.92
HRV,,ALL,1990,15.9
LUX,,ALL,1972,18.73
ITA,,ALL,1981,15.07
ITA,,ALL,1976,17.6
,EU_AFTER_MAY2004,ALL,1973,10.78
SWE,,ALL,1974,8.46
,EU_AFTER_MAY2004,ALL,1983,11.18
,EU_BEFORE_MAY2004,ALL,1992,12.03
PRT,,ALL,1987,12.35
IRL,,ALL,1970,10.58
PRT,,ALL,2010,12.25
MLT,,ALL,2004,6.53
IRL,,ALL,1973,13.11
RUS,,ALL,1971,8.5
KAZ,,ALL,1999,3.52
IRL,,ALL,1988,11.39
SRB,,ALL,2006,8.58
LUX,,ALL,1984,15.9
LUX,,ALL,1989,15.21
TKM,,ALL,2004,2.86
CZE,,ALL,1972,12.66
CZE,,ALL,1971,11.57
,SMALL,ALL,2010,9.38
LUX,,ALL,1993,13.74
BGR,,ALL,2003,11.19
SWE,,ALL,1996,6.9
DEU,,ALL,1994,13.37
,EU_MEMBERS,ALL,1994,11.3
ISL,,ALL,1992,4.64
ISL,,ALL,1998,5.47
BLR,,ALL,1995,9.35
LTU,,ALL,1990,7.05
CZE,,ALL,1982,14.12
HUN,,ALL,1984,16.82
RUS,,ALL,2014,10.12
,EU_BEFORE_MAY2004,ALL,2003,11.52
RUS,,ALL,2009,11.21
,EU_BEFORE_MAY2004,ALL,2002,11.5
SVK,,ALL,2002,10.78
CZE,,ALL,1985,14.24
,EU_MEMBERS,ALL,2007,11.03
ISL,,ALL,1997,5.1
LUX,,ALL,2010,11.36
CZE,,ALL,1988,12.84
,EU_MEMBERS,ALL,2009,10.41
ISL,,ALL,2007,7.53
CHE,,ALL,2014,9.61
FIN,,ALL,2013,8.97
HUN,,ALL,1990,16.15
DNK,,ALL,2014,9.64
TUR,,ALL,1981,1.54
KGZ,,ALL,1998,3.31
NOR,,ALL,1975,5.87
IRL,,ALL,1984,11.07
BGR,,ALL,2006,10.39
POL,,ALL,1997,8.51
,EU_AFTER_MAY2004,ALL,1988,10.85
FIN,,ALL,2004,9.89
PRT,,ALL,2004,13.45
LUX,,ALL,1991,14.26
,EU_AFTER_MAY2004,ALL,1990,10.81
NLD,,ALL,1981,11.25
SVN,,ALL,1997,11.22
DEU,,ALL,1989,14.64
POL,,ALL,1971,8.03
,WHO_EURO,ALL,2005,9.26
NOR,,ALL,1978,5.41
MLT,,ALL,2005,6.41
POL,,ALL,1975,8.62
,EU_BEFORE_MAY2004,ALL,1986,13.06
ISL,,ALL,1996,4.83
UZB,,ALL,1993,1.1
ITA,,ALL,2001,9.69
CHE,,ALL,1987,14.02
,EU_AFTER_MAY2004,ALL,2011,10.83
BLR,,ALL,2012,16.35
AZE,,ALL,1998,1.7
POL,,ALL,1979,10.62
EST,,ALL,2005,15.52
DNK,,ALL,1971,9.4
FIN,,ALL,1993,8.39
GBR,,ALL,1985,10.24
POL,,ALL,1989,9.33
BEL,,ALL,1983,13.55
NLD,,ALL,2004,9.56
ROU,,ALL,1992,11.34
ROU,,ALL,1993,12.92
BGR,,ALL,1979,10.91
AND,,ALL,2004,12.16
ISR,,ALL,1971,4.66
ISR,,ALL,1973,4.86
BEL,,ALL,2003,11.28
LVA,,ALL,1990,6.72
ROU,,ALL,1994,11.03
ARM,,ALL,1990,3.18
PRT,,ALL,1992,13.6
PRT,,ALL,1993,13.36
LUX,,ALL,1983,16.61
TUR,,ALL,2000,1.54
ITA,,ALL,2014,7.56
LUX,,ALL,1990,15.03
TKM,,ALL,1995,2
,EU_BEFORE_MAY2004,ALL,1975,16
,NORDIC,ALL,2014,7.87
RUS,,ALL,1974,7.54
BGR,,ALL,1987,10.91
BGR,,ALL,1986,11.47
RUS,,ALL,1984,8.98
GRC,,ALL,1973,10.67
RUS,,ALL,1985,7.61
,EU_BEFORE_MAY2004,ALL,1988,12.7
LVA,,ALL,2007,12.12
